"","Leeftijd","Marges","Perioden","Wijken.en.buurten","Regioaanduiding.Gemeentenaam..naam.","Regioaanduiding.Soort.regio..omschrijving.","Regioaanduiding.Codering..code.","Ervaren.gezondheid..goed.zeer.goed.....","Bewegen.Voldoet.aan.beweegrichtlijn....","Onder..en.overgewicht.Mate.van.overgewicht.Ernstig.overgewicht....","Roker....","Alcoholgebruik.Voldoet.aan.alcohol.richtlijn....","Lichamelijke.gezondheid.Eén.of.meer.langdurige.aandoeningen....","Psychische.klachten....","Veerkracht..Zeer..lage.veerkracht....","Hoog.risico.op.angst.of.depressie....","Eenzaamheid.Ernstig.zeer.ernstig.eenzaam...."
"1","18 jaar of ouder","Waarde",2022,"Nederland","Nederland                               ","Land      ","NL01                ",69,46.8,16.5,18,43.1,33.4,22.2,17.3,10.2,14.4
"2","18 jaar of ouder","Waarde",2022,"Aa en Hunze","Aa en Hunze                             ","Gemeente  ","GM1680              ",72,47.1,17.2,14.4,43.3,34.6,16,13.9,6.4,10
"3","18 jaar of ouder","Waarde",2022,"Aalsmeer","Aalsmeer                                ","Gemeente  ","GM0358              ",73.1,46.5,14.5,15.6,39,30.5,19.3,14.8,8.2,12.6
"4","18 jaar of ouder","Waarde",2022,"Aalten","Aalten                                  ","Gemeente  ","GM0197              ",71.6,47.2,17.6,15.4,37.4,31.5,16.8,15.1,7.7,11.6
"5","18 jaar of ouder","Waarde",2022,"Achtkarspelen","Achtkarspelen                           ","Gemeente  ","GM0059              ",71.4,43,17.7,19.3,41.5,32.2,17.8,15.9,7.7,11.4
"6","18 jaar of ouder","Waarde",2022,"Alblasserdam","Alblasserdam                            ","Gemeente  ","GM0482              ",68.8,40.1,18.5,16.8,50.7,33.6,21.7,17.6,9.7,13.5
"7","18 jaar of ouder","Waarde",2022,"Albrandswaard","Albrandswaard                           ","Gemeente  ","GM0613              ",71.7,42.3,17.4,14.7,47.5,32.1,19,15.3,7.9,12.1
"8","18 jaar of ouder","Waarde",2022,"Alkmaar","Alkmaar                                 ","Gemeente  ","GM0361              ",68.6,50.6,15.2,18.1,39.9,34.2,23,17.1,10.9,14.4
"9","18 jaar of ouder","Waarde",2022,"Almelo","Almelo                                  ","Gemeente  ","GM0141              ",65.7,46.6,20.6,21.7,44.6,35.6,23.2,18.9,12,15.4
"10","18 jaar of ouder","Waarde",2022,"Almere","Almere                                  ","Gemeente  ","GM0034              ",68.8,45.5,17.1,19.3,46.6,32.4,23.6,18.9,11.5,16.1
"11","18 jaar of ouder","Waarde",2022,"Alphen aan den Rijn","Alphen aan den Rijn                     ","Gemeente  ","GM0484              ",70.7,46.2,16.4,16.7,44,32.5,20.8,15.7,9.3,13
"12","18 jaar of ouder","Waarde",2022,"Alphen-Chaam","Alphen-Chaam                            ","Gemeente  ","GM1723              ",72.1,43.3,15.8,13.2,35.9,30.7,16.9,14.2,6.5,9.9
"13","18 jaar of ouder","Waarde",2022,"Altena","Altena                                  ","Gemeente  ","GM1959              ",71.7,41,17.3,15.6,45.9,31.1,18,15.2,7.6,11
"14","18 jaar of ouder","Waarde",2022,"Ameland","Ameland                                 ","Gemeente  ","GM0060              ",72.9,63.1,14.5,20.2,39.4,27.3,18.3,14.3,8.4,12
