"","Leeftijd","Marges","Perioden","Wijken.en.buurten","Regioaanduiding.Gemeentenaam..naam.","Regioaanduiding.Soort.regio..omschrijving.","Regioaanduiding.Codering..code.","Ervaren.gezondheid..goed.zeer.goed.....","Bewegen.Voldoet.aan.beweegrichtlijn....","Onder..en.overgewicht.Mate.van.overgewicht.Ernstig.overgewicht....","Roker....","Alcoholgebruik.Voldoet.aan.alcohol.richtlijn....","Lichamelijke.gezondheid.Eén.of.meer.langdurige.aandoeningen....","Psychische.klachten....","Veerkracht..Zeer..lage.veerkracht....","Hoog.risico.op.angst.of.depressie....","Eenzaamheid.Ernstig.zeer.ernstig.eenzaam...."
"1","18 jaar of ouder","Waarde",2022,"Goes","Goes                                    ","Gemeente  ","GM0664              ",68.8,43.2,16.4,17,47.7,34.9,20.3,17.3,8.5,14.8
"2","18 jaar of ouder","Waarde",2022,"Goirle","Goirle                                  ","Gemeente  ","GM0785              ",70,43.1,17.7,14.7,38.2,33.4,18.4,14.8,7.4,11.5
"3","18 jaar of ouder","Waarde",2022,"Gooise Meren","Gooise Meren                            ","Gemeente  ","GM1942              ",73.9,49.3,12.7,15,38,31,19.3,13.7,7.9,12.2
"4","18 jaar of ouder","Waarde",2022,"Gorinchem","Gorinchem                               ","Gemeente  ","GM0512              ",66.6,41.6,18.5,18.2,49.7,34.5,24,18.9,11.6,15.5
"5","18 jaar of ouder","Waarde",2022,"Gouda","Gouda                                   ","Gemeente  ","GM0513              ",67.8,45.3,17,17.2,49,34.6,23.9,18.1,11,14.8
"6","18 jaar of ouder","Waarde",2022,"'s-Gravenhage","'s-Gravenhage                           ","Gemeente  ","GM0518              ",64.1,48.6,16.7,21.8,50.6,34.1,29.7,22,14.9,20.7
"7","18 jaar of ouder","Waarde",2022,"Groningen","Groningen                               ","Gemeente  ","GM0014              ",69.8,57.3,13.2,23.6,36.4,31.3,25.9,17.5,11.7,15.9
"8","18 jaar of ouder","Waarde",2022,"Gulpen-Wittem","Gulpen-Wittem                           ","Gemeente  ","GM1729              ",67.6,37.3,15.8,14.5,40.8,36.1,19.7,14.7,8.2,12.4
"9","18 jaar of ouder","Waarde",2022,"Haaksbergen","Haaksbergen                             ","Gemeente  ","GM0158              ",72.7,51.2,16.2,15,36.2,32.2,16.4,14.6,7.3,10.5
"10","18 jaar of ouder","Waarde",2022,"Haarlem","Haarlem                                 ","Gemeente  ","GM0392              ",70.5,51.6,14,19.1,39.3,32,23.9,17.7,11.3,15.3
"11","18 jaar of ouder","Waarde",2022,"Haarlemmermeer","Haarlemmermeer                          ","Gemeente  ","GM0394              ",72.1,47,15.2,16,41.9,31.1,20.6,15.8,9.4,13.6
