"","Persoonskenmerken","Marges","Perioden","Ervaren.gezondheid.Goed.of.zeer.goed....","Mental.Health.Inventory..MHI.5..12..plus.Angst..of.depressiegevoelens..afg.4.wk.....","Mondgezondheid.Mondgezondheid..12.jaar.of.ouder..Goed.of.zeer.goed....","Beperkingen.Personen.met.GALI.beperking..4.of.ouder.GALI.beperking....","Beperkingen.Personen.met.GALI.beperking..4.of.ouder.GALI.beperking..ernstig....","Beperkingen.Personen.met.GALI.beperking..4.of.ouder.GALI.beperking..niet.ernstig....","Medische.contacten.Contact.met.huisarts.Personen.met.minimaal.1.contact....","Medische.contacten.Contact.met.fysio..en.oefentherapeut.Personen.met.minimaal.1.contact...."
"1","Totaal personen","Waarde",2021,80.5,"    43.9","    71.5","    28.4","     4.4","    24.0",62.1,25.4
"2","Geslacht: Mannen","Waarde",2021,82.2,"    38.5","    69.7","    25.3","     3.9","    21.4",56.7,21.2
"3","Geslacht: Vrouwen","Waarde",2021,78.8,"    49.2","    73.2","    31.4","     4.8","    26.5",67.5,29.5
"4","Leeftijd: 0 tot 4 jaar","Waarde",2021,96.5,"       .","       .","       .","       .","       .",61,10
"5","Leeftijd: 4 tot 12 jaar","Waarde",2021,98.2,"       .","       .","     7.8","     0.5","     7.3",39.7,9.3
"6","Leeftijd: 12 tot 16 jaar","Waarde",2021,92.1,"    36.4","    83.5","     8.6","     0.8","     7.8",44.3,14.3
"7","Leeftijd: 16 tot 20 jaar","Waarde",2021,87.7,"    48.4","    80.7","    13.4","     0.0","    13.4",58.2,21
"8","Leeftijd: 20 tot 30 jaar","Waarde",2021,85.7,"    54.9","    76.1","    17.9","     2.6","    15.4",61.4,22.9
"9","Leeftijd: 30 tot 40 jaar","Waarde",2021,83,"    47.0","    74.8","    20.9","     2.2","    18.7",63.7,26.7
"10","Leeftijd: 40 tot 50 jaar","Waarde",2021,80.4,"    42.8","    71.2","    25.4","     5.4","    20.0",61.9,28.7
"11","Leeftijd: 50 tot 55 jaar","Waarde",2021,75.1,"    45.0","    70.6","    35.1","     7.5","    27.6",63.8,32.5
"12","Leeftijd: 55 tot 65 jaar","Waarde",2021,73,"    39.6","    65.0","    39.0","     6.6","    32.4",67.9,30
"13","Leeftijd: 65 tot 75 jaar","Waarde",2021,70.8,"    35.3","    68.6","    43.5","     4.8","    38.7",69.2,31.5
"14","Leeftijd: 75 jaar of ouder","Waarde",2021,62.9,"    43.3","    67.7","    57.0","    10.5","    46.5",76,32
"15","Basisonderwijs, vmbo, mbo1","Waarde",2021,64.1,"    46.5","    63.4","    45.9","     9.3","    36.6",69.6,29.2
"16","Havo, vwo, mbo2-4","Waarde",2021,77.1,"    40.8","    68.0","    34.3","     5.9","    28.5",65.4,31
"17","Hbo, wo","Waarde",2021,83.5,"    40.6","    77.4","    25.0","     2.7","    22.3",65.2,28.7
