"","Leeftijd","Marges","Perioden","Wijken.en.buurten","Regioaanduiding.Gemeentenaam..naam.","Regioaanduiding.Soort.regio..omschrijving.","Regioaanduiding.Codering..code.","Ervaren.gezondheid..goed.zeer.goed.....","Bewegen.Voldoet.aan.beweegrichtlijn....","Onder..en.overgewicht.Mate.van.overgewicht.Ernstig.overgewicht....","Roker....","Alcoholgebruik.Voldoet.aan.alcohol.richtlijn....","Lichamelijke.gezondheid.Eén.of.meer.langdurige.aandoeningen....","Psychische.klachten....","Veerkracht..Zeer..lage.veerkracht....","Hoog.risico.op.angst.of.depressie....","Eenzaamheid.Ernstig.zeer.ernstig.eenzaam...."
"1","18 jaar of ouder","Waarde",2022,"Nederland","Nederland                               ","Land      ","NL01                ",69,46.8,16.5,18,43.1,33.4,22.2,17.3,10.2,14.4
"2","18 jaar of ouder","Waarde",2022,"Werkendam","Altena                                  ","Wijk      ","WK195901            ",71.3,41.5,17.6,16.2,49.4,31.1,18.8,16,8.1,11.5
"3","18 jaar of ouder","Waarde",2022,"Amsterdam","Amsterdam                               ","Gemeente  ","GM0363              ",66.8,53.8,12.8,23.6,41.8,32.8,31.6,21.6,15.1,20.7
"4","18 jaar of ouder","Waarde",2022,"Apeldoorn","Apeldoorn                               ","Gemeente  ","GM0200              ",69.9,47.9,16.7,17.8,44.9,34.1,20.6,16.4,9.6,13
"5","18 jaar of ouder","Waarde",2022,"Groningen","Groningen                               ","Gemeente  ","GM0014              ",69.8,57.3,13.2,23.6,36.4,31.3,25.9,17.5,11.7,15.9
"6","18 jaar of ouder","Waarde",2022,"Nieuw-Vennep","Haarlemmermeer                          ","Wijk      ","WK039402            ",73,46.6,15.1,15.4,40.7,30,19.7,15.3,8.9,12.7
"7","18 jaar of ouder","Waarde",2022,"'s-Hertogenbosch","'s-Hertogenbosch                        ","Gemeente  ","GM0796              ",69.3,45.2,15.9,18.1,37.5,33.3,22.2,17.1,10.3,14.1
"8","18 jaar of ouder","Waarde",2022,"Bedum","Het Hogeland                            ","Wijk      ","WK196608            ",71.1,49,17.6,17,45.3,35.1,18.4,15.3,7.1,12.1
"9","18 jaar of ouder","Waarde",2022,"Sint-Oedenrode","Meierijstad                             ","Wijk      ","WK194803            ",72.4,45.8,14.7,13.5,36.5,31.1,16.8,13.9,6.8,10.8
"10","18 jaar of ouder","Waarde",2022,"Rotterdam","Rotterdam                               ","Gemeente  ","GM0599              ",62.7,44.9,18,22.4,50.8,35.1,30.6,23.2,15.6,20.9
"11","18 jaar of ouder","Waarde",2022,"Wilp","Voorst                                  ","Buurt     ","BU02850300          ",72.4,44.7,16.2,14,39.5,33.8,15.7,14.7,7.2,9.2
