"","Leeftijd","Marges","Perioden","Wijken.en.buurten","Regioaanduiding.Gemeentenaam..naam.","Regioaanduiding.Soort.regio..omschrijving.","Regioaanduiding.Codering..code.","Ervaren.gezondheid..goed.zeer.goed.....","Bewegen.Voldoet.aan.beweegrichtlijn....","Onder..en.overgewicht.Mate.van.overgewicht.Ernstig.overgewicht....","Roker....","Alcoholgebruik.Voldoet.aan.alcohol.richtlijn....","Lichamelijke.gezondheid.Eén.of.meer.langdurige.aandoeningen....","Psychische.klachten....","Veerkracht..Zeer..lage.veerkracht....","Hoog.risico.op.angst.of.depressie....","Eenzaamheid.Ernstig.zeer.ernstig.eenzaam...."
"1","18 jaar of ouder","Waarde",2022,"Noardeast-Fryslân","Noardeast-Fryslân                       ","Gemeente  ","GM1970              ",71.2,43.7,16.6,20,42,32,17.6,16,7.5,11.9
"2","18 jaar of ouder","Waarde",2022,"Noord-Beveland","Noord-Beveland                          ","Gemeente  ","GM1695              ",69.6,42.8,17.3,16.4,44.4,36.6,17.8,16.1,7.3,14.2
"3","18 jaar of ouder","Waarde",2022,"Noordenveld","Noordenveld                             ","Gemeente  ","GM1699              ",72,47.8,15.8,14.5,43,33.8,15.7,14.1,6.3,10.5
"4","18 jaar of ouder","Waarde",2022,"Noordoostpolder","Noordoostpolder                         ","Gemeente  ","GM0171              ",71.2,46,17.3,18.5,44.3,31.8,19.3,16.6,8.9,12.6
"5","18 jaar of ouder","Waarde",2022,"Noordwijk","Noordwijk                               ","Gemeente  ","GM0575              ",72.4,50.2,15.4,16.3,37.8,31.4,19.4,15,8.5,12.5
"6","18 jaar of ouder","Waarde",2022,"Nuenen, Gerwen en Nederwetten","Nuenen, Gerwen en Nederwetten           ","Gemeente  ","GM0820              ",72.1,46.1,13.8,12.8,38,32.9,16.7,13.5,6.7,10.7
"7","18 jaar of ouder","Waarde",2022,"Nunspeet","Nunspeet                                ","Gemeente  ","GM0302              ",72.8,45.8,15.8,15.7,46.8,31.8,17.2,14.9,7.6,10.6
"8","18 jaar of ouder","Waarde",2022,"Oegstgeest","Oegstgeest                              ","Gemeente  ","GM0579              ",74.9,52.5,12.1,12.7,40.5,31.1,18.1,13.5,7.4,11.8
"9","18 jaar of ouder","Waarde",2022,"Oirschot","Oirschot                                ","Gemeente  ","GM0823              ",72.5,45.9,14.9,13.6,34.2,30.5,16.5,13.4,6.4,10.5
"10","18 jaar of ouder","Waarde",2022,"Oisterwijk","Oisterwijk                              ","Gemeente  ","GM0824              ",71.6,44.7,15.6,14.6,36.4,32.3,17.6,14.1,7,11.3
"11","18 jaar of ouder","Waarde",2022,"Oldambt","Oldambt                                 ","Gemeente  ","GM1895              ",64.7,41.5,26,21.7,50,38.4,22.8,20.6,10.1,16.6
"12","18 jaar of ouder","Waarde",2022,"Oldebroek","Oldebroek                               ","Gemeente  ","GM0269              ",73.2,44.6,16.6,15.8,47.4,31.2,16.8,15.9,7.6,10.5
"13","18 jaar of ouder","Waarde",2022,"Oldenzaal","Oldenzaal                               ","Gemeente  ","GM0173              ",70.6,51.3,17.7,16.3,35.6,32.4,18.8,15.7,8.8,12.1
"14","18 jaar of ouder","Waarde",2022,"Olst-Wijhe","Olst-Wijhe                              ","Gemeente  ","GM1773              ",73.3,47,16,15.1,39.4,31.5,16.1,14.4,6.9,10.3
"15","18 jaar of ouder","Waarde",2022,"Ommen","Ommen                                   ","Gemeente  ","GM0175              ",74.8,48.4,15.8,15.2,40.6,30.6,15.8,15.8,7,10.4
"16","18 jaar of ouder","Waarde",2022,"Oost Gelre","Oost Gelre                              ","Gemeente  ","GM1586              ",74,49.6,15.9,15,33.8,30.3,15,13.8,7.2,10.1
"17","18 jaar of ouder","Waarde",2022,"Oosterhout","Oosterhout                              ","Gemeente  ","GM0826              ",66.9,40.1,19.2,16.6,42.6,35.2,21.9,17.8,9.7,13.8
"18","18 jaar of ouder","Waarde",2022,"Ooststellingwerf","Ooststellingwerf                        ","Gemeente  ","GM0085              ",70.6,45.2,17.7,17.2,43,34.2,17.1,15.7,7.4,11.5
"19","18 jaar of ouder","Waarde",2022,"Oostzaan","Oostzaan                                ","Gemeente  ","GM0431              ",72.9,48.4,15,14.7,37.5,31.3,18.5,15.1,7.6,11.1
"20","18 jaar of ouder","Waarde",2022,"Opmeer","Opmeer                                  ","Gemeente  ","GM0432              ",72.9,49.1,13.8,15.2,34.1,29.7,17.2,14.5,7.5,10.7
"21","18 jaar of ouder","Waarde",2022,"Opsterland","Opsterland                              ","Gemeente  ","GM0086              ",73.5,45.8,15.8,16.2,41.1,32,16.3,14.7,6.8,10.7
"22","18 jaar of ouder","Waarde",2022,"Oss","Oss                                     ","Gemeente  ","GM0828              ",68.2,44.1,17.4,17.8,41.1,33.8,21.2,17.2,10,13.7
"23","18 jaar of ouder","Waarde",2022,"Oude IJsselstreek","Oude IJsselstreek                       ","Gemeente  ","GM1509              ",69.8,45.8,19,16.3,39,34.1,18.2,16,8.5,12.5
"24","18 jaar of ouder","Waarde",2022,"Ouder-Amstel","Ouder-Amstel                            ","Gemeente  ","GM0437              ",72.4,48.8,13.4,15,40.3,31.9,20.9,15.7,8.6,13.4
"25","18 jaar of ouder","Waarde",2022,"Oudewater","Oudewater                               ","Gemeente  ","GM0589              ",73.9,46.4,15,14.5,38.7,30.5,17.5,13.7,7.1,10.8
"26","18 jaar of ouder","Waarde",2022,"Overbetuwe","Overbetuwe                              ","Gemeente  ","GM1734              ",72.2,46.2,16,14.6,41.3,33,17.6,14.4,7.6,11.1
"27","18 jaar of ouder","Waarde",2022,"Papendrecht","Papendrecht                             ","Gemeente  ","GM0590              ",68.3,40.2,18.5,16.6,49.2,34.4,21.3,17.2,9.6,13.7
"28","18 jaar of ouder","Waarde",2022,"Peel en Maas","Peel en Maas                            ","Gemeente  ","GM1894              ",70.1,45.3,15.5,14.4,37.5,32.5,18.4,14.9,7.5,11.9
"29","18 jaar of ouder","Waarde",2022,"Pekela","Pekela                                  ","Gemeente  ","GM0765              ",61.7,40.1,27.2,22.8,49,40,22.8,20.8,11.1,16.7
"30","18 jaar of ouder","Waarde",2022,"Pijnacker-Nootdorp","Pijnacker-Nootdorp                      ","Gemeente  ","GM1926              ",73.6,47.4,14.8,13.7,43.9,30.5,19.1,14.5,8.1,12.2
"31","18 jaar of ouder","Waarde",2022,"Purmerend","Purmerend                               ","Gemeente  ","GM0439              ",68.1,45.7,17.1,17.8,42.3,33.6,22.3,17,10.3,14.2
"32","18 jaar of ouder","Waarde",2022,"Putten","Putten                                  ","Gemeente  ","GM0273              ",73.5,46.5,15.3,15.5,46.4,30.8,16.9,14.4,7.4,10.5
"33","18 jaar of ouder","Waarde",2022,"Raalte","Raalte                                  ","Gemeente  ","GM0177              ",74.1,50.6,15.5,14.7,39.2,30.1,15.7,14.4,6.6,10.1
"34","18 jaar of ouder","Waarde",2022,"Reimerswaal","Reimerswaal                             ","Gemeente  ","GM0703              ",69.9,40.9,18.4,18.1,48.7,31,20.4,17.4,9.1,13.6
"35","18 jaar of ouder","Waarde",2022,"Renkum","Renkum                                  ","Gemeente  ","GM0274              ",71.1,47.5,15.3,13.6,45.7,35.7,17.6,14.6,7.5,11.5
"36","18 jaar of ouder","Waarde",2022,"Renswoude","Renswoude                               ","Gemeente  ","GM0339              ",75.1,45.3,14.7,15.7,46.2,27.8,16.5,13.1,7,10
"37","18 jaar of ouder","Waarde",2022,"Reusel-De Mierden","Reusel-De Mierden                       ","Gemeente  ","GM1667              ",70.8,45.1,15.9,14.3,36,30.2,17.4,15.1,6.8,11
"38","18 jaar of ouder","Waarde",2022,"Rheden","Rheden                                  ","Gemeente  ","GM0275              ",67.5,45.6,17.5,17.4,44.4,37.2,20.8,16.8,9.7,13.2
"39","18 jaar of ouder","Waarde",2022,"Rhenen","Rhenen                                  ","Gemeente  ","GM0340              ",71.9,44.3,16,15.4,49.2,32.7,17.6,15.1,7.8,11.1
"40","18 jaar of ouder","Waarde",2022,"Ridderkerk","Ridderkerk                              ","Gemeente  ","GM0597              ",66.8,38.9,19.2,16.9,51.7,35.3,22.1,18.3,10.1,14.6
"41","18 jaar of ouder","Waarde",2022,"Rijssen-Holten","Rijssen-Holten                          ","Gemeente  ","GM1742              ",73.9,49,16.5,15.5,40.4,29.4,16.5,14.5,7.2,10.2
"42","18 jaar of ouder","Waarde",2022,"Rijswijk","Rijswijk                                ","Gemeente  ","GM0603              ",66.4,43.9,17.2,17.3,48.4,34.7,25.1,19.1,12.5,17.2
"43","18 jaar of ouder","Waarde",2022,"Roerdalen","Roerdalen                               ","Gemeente  ","GM1669              ",64.8,40,17.9,16,43.3,37.6,21.2,17,8.9,13
"44","18 jaar of ouder","Waarde",2022,"Roermond","Roermond                                ","Gemeente  ","GM0957              ",64.1,42.8,18.3,19.3,46.1,38.2,25.7,19,11.6,16.8
"45","18 jaar of ouder","Waarde",2022,"De Ronde Venen","De Ronde Venen                          ","Gemeente  ","GM0736              ",73.3,46.3,14.6,14.7,38.4,31.2,18.4,14.3,7.8,11.6
"46","18 jaar of ouder","Waarde",2022,"Roosendaal","Roosendaal                              ","Gemeente  ","GM1674              ",64.4,41.8,19.8,18.2,45.9,35,23.5,18.6,10.6,15.7
"47","18 jaar of ouder","Waarde",2022,"Rotterdam","Rotterdam                               ","Gemeente  ","GM0599              ",62.7,44.9,18,22.4,50.8,35.1,30.6,23.2,15.6,20.9
"48","18 jaar of ouder","Waarde",2022,"Rozendaal","Rozendaal                               ","Gemeente  ","GM0277              ",79.3,50.9,10.7,9.1,36.3,31.4,11.8,8.9,4.3,7.3
"49","18 jaar of ouder","Waarde",2022,"Rucphen","Rucphen                                 ","Gemeente  ","GM0840              ",65.6,37.3,20.1,16.7,41.6,33.8,19.8,18.7,8.3,13.2
"50","18 jaar of ouder","Waarde",2022,"Schagen","Schagen                                 ","Gemeente  ","GM0441              ",71.7,52.3,14.8,15.8,37.6,33.6,18,14.8,7.7,11.4
"51","18 jaar of ouder","Waarde",2022,"Scherpenzeel","Scherpenzeel                            ","Gemeente  ","GM0279              ",73.5,45.9,15.6,15.5,46.5,30.2,17.4,14.5,7.3,10.5
