"","Geslacht","Leeftijd","Hoogst.behaald.onderwijsniveau","Perioden","Beroepsbevolking.Werkloosheidspercentage...."
"1","Totaal mannen en vrouwen","15 tot 75 jaar","Totaal",2020,4.9
"2","Totaal mannen en vrouwen","15 tot 75 jaar","Totaal",2021,4.2
"3","Totaal mannen en vrouwen","15 tot 75 jaar","Totaal",2022,3.5
"4","Totaal mannen en vrouwen","15 tot 75 jaar","Totaal",2023,3.6
"5","Totaal mannen en vrouwen","15 tot 75 jaar","Totaal",2024,3.7
"6","Totaal mannen en vrouwen","15 tot 20 jaar","Totaal",2020,12.5
"7","Totaal mannen en vrouwen","15 tot 20 jaar","Totaal",2021,12.4
"8","Totaal mannen en vrouwen","15 tot 20 jaar","Totaal",2022,10
"9","Totaal mannen en vrouwen","15 tot 20 jaar","Totaal",2023,10.7
"10","Totaal mannen en vrouwen","15 tot 20 jaar","Totaal",2024,10.9
"11","Totaal mannen en vrouwen","20 tot 25 jaar","Totaal",2020,8.9
"12","Totaal mannen en vrouwen","20 tot 25 jaar","Totaal",2021,6.8
"13","Totaal mannen en vrouwen","20 tot 25 jaar","Totaal",2022,5.7
"14","Totaal mannen en vrouwen","20 tot 25 jaar","Totaal",2023,6.3
"15","Totaal mannen en vrouwen","20 tot 25 jaar","Totaal",2024,6.9
"16","Totaal mannen en vrouwen","25 tot 30 jaar","Totaal",2020,4.7
"17","Totaal mannen en vrouwen","25 tot 30 jaar","Totaal",2021,3.9
"18","Totaal mannen en vrouwen","25 tot 30 jaar","Totaal",2022,4
"19","Totaal mannen en vrouwen","25 tot 30 jaar","Totaal",2023,4
"20","Totaal mannen en vrouwen","25 tot 30 jaar","Totaal",2024,4
"21","Totaal mannen en vrouwen","30 tot 35 jaar","Totaal",2020,3.7
"22","Totaal mannen en vrouwen","30 tot 35 jaar","Totaal",2021,3.5
"23","Totaal mannen en vrouwen","30 tot 35 jaar","Totaal",2022,2.7
"24","Totaal mannen en vrouwen","30 tot 35 jaar","Totaal",2023,2.8
"25","Totaal mannen en vrouwen","30 tot 35 jaar","Totaal",2024,3
"26","Totaal mannen en vrouwen","35 tot 40 jaar","Totaal",2020,3.4
"27","Totaal mannen en vrouwen","35 tot 40 jaar","Totaal",2021,2.8
"28","Totaal mannen en vrouwen","35 tot 40 jaar","Totaal",2022,2.4
"29","Totaal mannen en vrouwen","35 tot 40 jaar","Totaal",2023,2.5
"30","Totaal mannen en vrouwen","35 tot 40 jaar","Totaal",2024,2.6
"31","Totaal mannen en vrouwen","40 tot 45 jaar","Totaal",2020,3.9
"32","Totaal mannen en vrouwen","40 tot 45 jaar","Totaal",2021,3.1
"33","Totaal mannen en vrouwen","40 tot 45 jaar","Totaal",2022,2.2
"34","Totaal mannen en vrouwen","40 tot 45 jaar","Totaal",2023,2.3
"35","Totaal mannen en vrouwen","40 tot 45 jaar","Totaal",2024,2.4
"36","Totaal mannen en vrouwen","45 tot 50 jaar","Totaal",2020,2.5
"37","Totaal mannen en vrouwen","45 tot 50 jaar","Totaal",2021,2.4
"38","Totaal mannen en vrouwen","45 tot 50 jaar","Totaal",2022,1.7
"39","Totaal mannen en vrouwen","45 tot 50 jaar","Totaal",2023,1.9
"40","Totaal mannen en vrouwen","45 tot 50 jaar","Totaal",2024,1.9
"41","Totaal mannen en vrouwen","50 tot 55 jaar","Totaal",2020,3.1
"42","Totaal mannen en vrouwen","50 tot 55 jaar","Totaal",2021,2.8
"43","Totaal mannen en vrouwen","50 tot 55 jaar","Totaal",2022,1.9
"44","Totaal mannen en vrouwen","50 tot 55 jaar","Totaal",2023,1.6
"45","Totaal mannen en vrouwen","50 tot 55 jaar","Totaal",2024,1.7
"46","Totaal mannen en vrouwen","55 tot 60 jaar","Totaal",2020,3.5
"47","Totaal mannen en vrouwen","55 tot 60 jaar","Totaal",2021,2.9
"48","Totaal mannen en vrouwen","55 tot 60 jaar","Totaal",2022,2.1
"49","Totaal mannen en vrouwen","55 tot 60 jaar","Totaal",2023,1.9
"50","Totaal mannen en vrouwen","55 tot 60 jaar","Totaal",2024,2
"51","Totaal mannen en vrouwen","60 tot 65 jaar","Totaal",2020,4.6
"52","Totaal mannen en vrouwen","60 tot 65 jaar","Totaal",2021,3.7
"53","Totaal mannen en vrouwen","60 tot 65 jaar","Totaal",2022,3.8
"54","Totaal mannen en vrouwen","60 tot 65 jaar","Totaal",2023,2.7
"55","Totaal mannen en vrouwen","60 tot 65 jaar","Totaal",2024,2.5
"56","Totaal mannen en vrouwen","65 tot 70 jaar","Totaal",2020,4.7
"57","Totaal mannen en vrouwen","65 tot 70 jaar","Totaal",2021,4
"58","Totaal mannen en vrouwen","65 tot 70 jaar","Totaal",2022,5
