"","Leeftijd","Marges","Perioden","Wijken.en.buurten","Regioaanduiding.Gemeentenaam..naam.","Regioaanduiding.Soort.regio..omschrijving.","Regioaanduiding.Codering..code.","Ervaren.gezondheid..goed.zeer.goed.....","Bewegen.Voldoet.aan.beweegrichtlijn....","Onder..en.overgewicht.Mate.van.overgewicht.Ernstig.overgewicht....","Roker....","Alcoholgebruik.Voldoet.aan.alcohol.richtlijn....","Lichamelijke.gezondheid.Eén.of.meer.langdurige.aandoeningen....","Psychische.klachten....","Veerkracht..Zeer..lage.veerkracht....","Hoog.risico.op.angst.of.depressie....","Eenzaamheid.Ernstig.zeer.ernstig.eenzaam...."
"1","18 jaar of ouder","Waarde",2020,"Vlissingen","Vlissingen                              ","Gemeente  ","GM0718              ",74.5,"    53.0",15.5,18.7,49.8,37,"       .","       .",6.5,14.5
"2","18 jaar of ouder","Waarde",2020,"Voerendaal","Voerendaal                              ","Gemeente  ","GM0986              ",74.6,"    45.5",15.6,15.2,44.4,37.5,"       .","       .",6.4,11.5
"3","18 jaar of ouder","Waarde",2020,"Voorschoten","Voorschoten                             ","Gemeente  ","GM0626              ",81.7,"    51.1",12.7,13.2,42.1,32.8,"       .","       .",5.1,9.6
"4","18 jaar of ouder","Waarde",2020,"Voorst","Voorst                                  ","Gemeente  ","GM0285              ",81.6,"    50.8",15,14.6,42.1,32.7,"       .","       .",4.6,8.3
"5","18 jaar of ouder","Waarde",2020,"Vught","Vught                                   ","Gemeente  ","GM0865              ",80.3,"    52.2",13.7,14.5,37.1,31.3,"       .","       .",5.3,9.2
"6","18 jaar of ouder","Waarde",2020,"Waadhoeke","Waadhoeke                               ","Gemeente  ","GM1949              ",81.1,"    52.9",16.2,18.9,40.3,33.1,"       .","       .",4.5,7.6
"7","18 jaar of ouder","Waarde",2020,"Waalre","Waalre                                  ","Gemeente  ","GM0866              ",80,"    51.9",13.6,12.9,39.9,31.1,"       .","       .",4.8,9.6
"8","18 jaar of ouder","Waarde",2020,"Waalwijk","Waalwijk                                ","Gemeente  ","GM0867              ",77.5,"    44.7",18.4,17.8,43.7,32.6,"       .","       .",7,11.2
"9","18 jaar of ouder","Waarde",2020,"Waddinxveen","Waddinxveen                             ","Gemeente  ","GM0627              ",80.9,"    47.0",15.7,15.4,48,32,"       .","       .",5.8,9.5
"10","18 jaar of ouder","Waarde",2020,"Wageningen","Wageningen                              ","Gemeente  ","GM0289              ",81.1,"    59.0",11.9,17.6,44.5,30.5,"       .","       .",7.9,12.1
"11","18 jaar of ouder","Waarde",2020,"Wassenaar","Wassenaar                               ","Gemeente  ","GM0629              ",80.9,"    50.9",12.8,13.1,42.6,32.8,"       .","       .",5.2,10.3
