"","Onderwijsvolgend","Arbeidskenmerken","Uitkering","Geregistreerd.werkzoekende.bij.UWV","Perioden","Gemeente","Jongeren..15.tot.27.jaar...aantal.","Leeftijd","Marges","Regioaanduiding.Soort.regio..omschrijving.","Psychische.klachten....","Hoog.risico.op.angst.of.depressie...."
"1","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Nederland",2586000,"18 jaar of ouder","Waarde","Land      ",NA,6.8
"2","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Aa en Hunze",2900,"18 jaar of ouder","Waarde","Gemeente  ",NA,3.7
"3","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Aalsmeer",4500,"18 jaar of ouder","Waarde","Gemeente  ",NA,4.9
"4","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Aalten",3600,"18 jaar of ouder","Waarde","Gemeente  ",NA,5.4
"5","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Achtkarspelen",4000,"18 jaar of ouder","Waarde","Gemeente  ",NA,4.6
"6","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Alblasserdam",2900,"18 jaar of ouder","Waarde","Gemeente  ",NA,6.5
"7","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Albrandswaard",3300,"18 jaar of ouder","Waarde","Gemeente  ",NA,5.5
"8","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Alkmaar",14800,"18 jaar of ouder","Waarde","Gemeente  ",NA,6.9
"9","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Almelo",10800,"18 jaar of ouder","Waarde","Gemeente  ",NA,7.7
"10","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Almere",32400,"18 jaar of ouder","Waarde","Gemeente  ",NA,7.6
"11","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Alphen aan den Rijn",15700,"18 jaar of ouder","Waarde","Gemeente  ",NA,5.9
"12","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Alphen-Chaam",1300,"18 jaar of ouder","Waarde","Gemeente  ",NA,4.2
"13","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Altena",8100,"18 jaar of ouder","Waarde","Gemeente  ",NA,4.9
"14","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Ameland",500,"18 jaar of ouder","Waarde","Gemeente  ",NA,4
"15","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Amersfoort",22900,"18 jaar of ouder","Waarde","Gemeente  ",NA,6.7
