"","Periode","Gemeente","Aantal_werklozen_15_27","Leeftijd","Regio_type","Psychische_klachten","Hoog_risico_angst_depressie"
"1","2020","Nederland",2586000,"18 jaar of ouder","Land      ",NA,6.8
"2","2020","Aa en Hunze",2900,"18 jaar of ouder","Gemeente  ",NA,3.7
"3","2020","Aalsmeer",4500,"18 jaar of ouder","Gemeente  ",NA,4.9
"4","2020","Aalten",3600,"18 jaar of ouder","Gemeente  ",NA,5.4
"5","2020","Achtkarspelen",4000,"18 jaar of ouder","Gemeente  ",NA,4.6
"6","2020","Alblasserdam",2900,"18 jaar of ouder","Gemeente  ",NA,6.5
"7","2020","Albrandswaard",3300,"18 jaar of ouder","Gemeente  ",NA,5.5
"8","2020","Alkmaar",14800,"18 jaar of ouder","Gemeente  ",NA,6.9
"9","2020","Almelo",10800,"18 jaar of ouder","Gemeente  ",NA,7.7
"10","2020","Almere",32400,"18 jaar of ouder","Gemeente  ",NA,7.6
"11","2020","Alphen aan den Rijn",15700,"18 jaar of ouder","Gemeente  ",NA,5.9
"12","2020","Alphen-Chaam",1300,"18 jaar of ouder","Gemeente  ",NA,4.2
"13","2020","Altena",8100,"18 jaar of ouder","Gemeente  ",NA,4.9
"14","2020","Ameland",500,"18 jaar of ouder","Gemeente  ",NA,4
"15","2020","Amersfoort",22900,"18 jaar of ouder","Gemeente  ",NA,6.7
"16","2020","Amstelveen",12700,"18 jaar of ouder","Gemeente  ",NA,6.2
"17","2020","Amsterdam",148200,"18 jaar of ouder","Gemeente  ",NA,9.4
"18","2020","Apeldoorn",22600,"18 jaar of ouder","Gemeente  ",NA,6.7
"19","2020","Arnhem",26900,"18 jaar of ouder","Gemeente  ",NA,9.7
"20","2020","Assen",9700,"18 jaar of ouder","Gemeente  ",NA,5.5
"21","2020","Asten",2400,"18 jaar of ouder","Gemeente  ",NA,5.6
"22","2020","Baarle-Nassau",800,"18 jaar of ouder","Gemeente  ",NA,4.9
"23","2020","Baarn",2900,"18 jaar of ouder","Gemeente  ",NA,5.4
"24","2020","Barendrecht",7100,"18 jaar of ouder","Gemeente  ",NA,5.7
"25","2020","Barneveld",9600,"18 jaar of ouder","Gemeente  ",NA,5.2
"26","2020","Beek (L.)",1900,NA,NA,NA,NA
"27","2020","Beekdaelen",4200,"18 jaar of ouder","Gemeente  ",NA,7
"28","2020","Beesel",1700,"18 jaar of ouder","Gemeente  ",NA,6
"29","2020","Berg en Dal",4400,"18 jaar of ouder","Gemeente  ",NA,5.8
"30","2020","Bergeijk",2600,"18 jaar of ouder","Gemeente  ",NA,4.6
"31","2020","Bergen (L.)",1700,"18 jaar of ouder","Gemeente  ",NA,5.2
"32","2020","Bergen (NH.)",3500,"18 jaar of ouder","Gemeente  ",NA,4
"33","2020","Bergen op Zoom",8900,"18 jaar of ouder","Gemeente  ",NA,7.9
"34","2020","Berkelland",5900,"18 jaar of ouder","Gemeente  ",NA,4.4
"35","2020","Bernheze",4700,"18 jaar of ouder","Gemeente  ",NA,5.1
"36","2020","Best",4400,"18 jaar of ouder","Gemeente  ",NA,6.2
"37","2020","Beuningen",3400,"18 jaar of ouder","Gemeente  ",NA,5.6
"38","2020","Beverwijk",5600,"18 jaar of ouder","Gemeente  ",NA,7.3
"39","2020","De Bilt",5300,"18 jaar of ouder","Gemeente  ",NA,5.2
"40","2020","Bladel",2900,"18 jaar of ouder","Gemeente  ",NA,4.8
"41","2020","Blaricum",1200,"18 jaar of ouder","Gemeente  ",NA,4.3
"42","2020","Bloemendaal",2800,"18 jaar of ouder","Gemeente  ",NA,3.7
"43","2020","Bodegraven-Reeuwijk",5000,"18 jaar of ouder","Gemeente  ",NA,4.9
"44","2020","Boekel",1700,"18 jaar of ouder","Gemeente  ",NA,4.8
"45","2020","Borger-Odoorn",3100,"18 jaar of ouder","Gemeente  ",NA,4.7
"46","2020","Borne",3000,"18 jaar of ouder","Gemeente  ",NA,4.5
"47","2020","Borsele",3100,"18 jaar of ouder","Gemeente  ",NA,4.8
"48","2020","Boxtel",4600,"18 jaar of ouder","Gemeente  ",NA,6.2
"49","2020","Breda",30700,"18 jaar of ouder","Gemeente  ",NA,7.6
"50","2020","Bronckhorst",4800,"18 jaar of ouder","Gemeente  ",NA,4.4
"51","2020","Brummen",2600,"18 jaar of ouder","Gemeente  ",NA,6
"52","2020","Brunssum",3200,"18 jaar of ouder","Gemeente  ",NA,9.9
"53","2020","Bunnik",1800,"18 jaar of ouder","Gemeente  ",NA,4
"54","2020","Bunschoten",3400,"18 jaar of ouder","Gemeente  ",NA,5
"55","2020","Buren",3600,"18 jaar of ouder","Gemeente  ",NA,4.5
"56","2020","Capelle aan den IJssel",9200,"18 jaar of ouder","Gemeente  ",NA,7.4
"57","2020","Castricum",4800,"18 jaar of ouder","Gemeente  ",NA,4.2
"58","2020","Coevorden",4600,"18 jaar of ouder","Gemeente  ",NA,4.9
"59","2020","Cranendonck",2800,"18 jaar of ouder","Gemeente  ",NA,5.6
"60","2020","Culemborg",4000,"18 jaar of ouder","Gemeente  ",NA,6.4
"61","2020","Dalfsen",4100,"18 jaar of ouder","Gemeente  ",NA,3.7
"62","2020","Dantumadiel",2600,"18 jaar of ouder","Gemeente  ",NA,4.4
"63","2020","Delft",25600,"18 jaar of ouder","Gemeente  ",NA,8.4
"64","2020","Deurne",4500,"18 jaar of ouder","Gemeente  ",NA,5.6
"65","2020","Deventer",15200,"18 jaar of ouder","Gemeente  ",NA,7.9
"66","2020","Diemen",6400,"18 jaar of ouder","Gemeente  ",NA,7.7
"67","2020","Dijk en Waard",12200,"18 jaar of ouder","Gemeente  ",NA,5.8
"68","2020","Dinkelland",4200,"18 jaar of ouder","Gemeente  ",NA,3.8
"69","2020","Doesburg",1400,"18 jaar of ouder","Gemeente  ",NA,7.9
"70","2020","Doetinchem",8200,"18 jaar of ouder","Gemeente  ",NA,6.8
"71","2020","Dongen",3500,"18 jaar of ouder","Gemeente  ",NA,5.9
"72","2020","Dordrecht",16900,"18 jaar of ouder","Gemeente  ",NA,7.8
"73","2020","Drechterland",2800,"18 jaar of ouder","Gemeente  ",NA,4.5
"74","2020","Drimmelen",3500,"18 jaar of ouder","Gemeente  ",NA,4.8
"75","2020","Dronten",6400,"18 jaar of ouder","Gemeente  ",NA,5.5
"76","2020","Druten",2700,"18 jaar of ouder","Gemeente  ",NA,5.9
"77","2020","Duiven",3600,"18 jaar of ouder","Gemeente  ",NA,6.2
"78","2020","Echt-Susteren",3600,"18 jaar of ouder","Gemeente  ",NA,6.4
"79","2020","Edam-Volendam",5400,"18 jaar of ouder","Gemeente  ",NA,4.5
"80","2020","Ede",18600,"18 jaar of ouder","Gemeente  ",NA,6
"81","2020","Eemnes",1300,"18 jaar of ouder","Gemeente  ",NA,4.6
"82","2020","Eemsdelta",5700,"18 jaar of ouder","Gemeente  ",NA,6.8
"83","2020","Eersel",2600,"18 jaar of ouder","Gemeente  ",NA,4.5
"84","2020","Eijsden-Margraten",3100,"18 jaar of ouder","Gemeente  ",NA,5.4
"85","2020","Eindhoven",41400,"18 jaar of ouder","Gemeente  ",NA,8.9
"86","2020","Elburg",3400,"18 jaar of ouder","Gemeente  ",NA,4.7
"87","2020","Emmen",14300,"18 jaar of ouder","Gemeente  ",NA,6.6
"88","2020","Enkhuizen",2400,"18 jaar of ouder","Gemeente  ",NA,6.4
"89","2020","Enschede",30800,"18 jaar of ouder","Gemeente  ",NA,8.5
"90","2020","Epe",4200,"18 jaar of ouder","Gemeente  ",NA,5.1
