"","Onderwijsvolgend","Arbeidskenmerken","Uitkering","Geregistreerd.werkzoekende.bij.UWV","Perioden","Regio.s","Jongeren..15.tot.27.jaar...aantal.","unemployment_pct_change"
"1","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","'s-Gravenhage (gemeente)",85000,NA
"2","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","'s-Gravenhage (gemeente)",86400,1.647
"3","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","'s-Gravenhage (gemeente)",89000,3.009
"4","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","'s-Gravenhage (gemeente)",89800,0.899
"5","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","'s-Hertogenbosch",22500,NA
"6","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","'s-Hertogenbosch",22700,0.889
"7","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","'s-Hertogenbosch",23100,1.762
"8","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","'s-Hertogenbosch",23300,0.866
"9","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Aa en Hunze",2900,NA
"10","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Aa en Hunze",2900,0
"11","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Aa en Hunze",2900,0
"12","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Aa en Hunze",2900,0
"13","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Aalsmeer",4500,NA
"14","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Aalsmeer",4600,2.222
"15","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Aalsmeer",4800,4.348
"16","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Aalsmeer",5000,4.167
"17","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Aalten",3600,NA
"18","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Aalten",3600,0
"19","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Aalten",3600,0
"20","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Aalten",3600,0
"21","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Achtkarspelen",4000,NA
"22","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Achtkarspelen",4000,0
"23","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Achtkarspelen",4100,2.5
"24","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Achtkarspelen",4100,0
"25","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Alblasserdam",2900,NA
"26","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Alblasserdam",2900,0
"27","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Alblasserdam",3000,3.448
"28","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Alblasserdam",2900,-3.333
"29","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Albrandswaard",3300,NA
"30","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Albrandswaard",3400,3.03
"31","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Albrandswaard",3500,2.941
"32","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Albrandswaard",3600,2.857
"33","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Alkmaar",14800,NA
"34","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Alkmaar",14600,-1.351
"35","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Alkmaar",14800,1.37
"36","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Alkmaar",14800,0
"37","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Almelo",10800,NA
"38","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Almelo",10700,-0.926
"39","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Almelo",10900,1.869
"40","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Almelo",11000,0.917
"41","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Almere",32400,NA
"42","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Almere",32200,-0.617
"43","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Almere",32500,0.932
"44","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Almere",32900,1.231
"45","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Alphen aan den Rijn",15700,NA
"46","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Alphen aan den Rijn",15500,-1.274
"47","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Alphen aan den Rijn",15600,0.645
"48","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Alphen aan den Rijn",15700,0.641
"49","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Alphen-Chaam",1300,NA
"50","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Alphen-Chaam",1300,0
"51","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Alphen-Chaam",1300,0
"52","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Alphen-Chaam",1300,0
"53","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Altena",8100,NA
"54","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Altena",8100,0
"55","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Altena",8200,1.235
"56","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Altena",8300,1.22
"57","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Ameland",500,NA
"58","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Ameland",500,0
"59","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Ameland",600,20
"60","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Ameland",500,-16.667
"61","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Amersfoort",22900,NA
"62","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Amersfoort",22900,0
"63","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Amersfoort",23500,2.62
"64","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Amersfoort",23600,0.426
"65","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Amstelveen",12700,NA
"66","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Amstelveen",13000,2.362
"67","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Amstelveen",13900,6.923
"68","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Amstelveen",14100,1.439
"69","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Amsterdam",148200,NA
"70","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Amsterdam",152900,3.171
"71","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Amsterdam",159400,4.251
"72","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Amsterdam",165000,3.513
"73","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Apeldoorn",22600,NA
"74","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Apeldoorn",22800,0.885
"75","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Apeldoorn",23000,0.877
"76","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Apeldoorn",23200,0.87
"77","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Arnhem",26900,NA
"78","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Arnhem",27300,1.487
"79","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Arnhem",27600,1.099
"80","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Arnhem",27900,1.087
"81","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Assen",9700,NA
"82","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Assen",9800,1.031
"83","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Assen",10000,2.041
"84","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Assen",10100,1
"85","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Asten",2400,NA
"86","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Asten",2500,4.167
"87","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Asten",2400,-4
"88","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Asten",2300,-4.167
"89","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Baarle-Nassau",800,NA
"90","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Baarle-Nassau",800,0
"91","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Baarle-Nassau",800,0
"92","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Baarle-Nassau",800,0
"93","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Baarn",2900,NA
"94","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Baarn",2800,-3.448
"95","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Baarn",2800,0
