"","Leeftijd","Marges","Perioden","Wijken.en.buurten","Regioaanduiding.Soort.regio..omschrijving.","Psychische.klachten....","Hoog.risico.op.angst.of.depressie...."
"1","18 jaar of ouder","Waarde",2022,"Nederland","Land      ",22.2,10.2
"2","18 jaar of ouder","Waarde",2022,"Aa en Hunze","Gemeente  ",16,6.4
"3","18 jaar of ouder","Waarde",2022,"Aalsmeer","Gemeente  ",19.3,8.2
"4","18 jaar of ouder","Waarde",2022,"Aalten","Gemeente  ",16.8,7.7
"5","18 jaar of ouder","Waarde",2022,"Achtkarspelen","Gemeente  ",17.8,7.7
"6","18 jaar of ouder","Waarde",2022,"Alblasserdam","Gemeente  ",21.7,9.7
"7","18 jaar of ouder","Waarde",2022,"Albrandswaard","Gemeente  ",19,7.9
"8","18 jaar of ouder","Waarde",2022,"Alkmaar","Gemeente  ",23,10.9
"9","18 jaar of ouder","Waarde",2022,"Almelo","Gemeente  ",23.2,12
"10","18 jaar of ouder","Waarde",2022,"Almere","Gemeente  ",23.6,11.5
"11","18 jaar of ouder","Waarde",2022,"Alphen aan den Rijn","Gemeente  ",20.8,9.3
"12","18 jaar of ouder","Waarde",2022,"Alphen-Chaam","Gemeente  ",16.9,6.5
"13","18 jaar of ouder","Waarde",2022,"Altena","Gemeente  ",18,7.6
"14","18 jaar of ouder","Waarde",2022,"Ameland","Gemeente  ",18.3,8.4
"15","18 jaar of ouder","Waarde",2022,"Amersfoort","Gemeente  ",21.5,10.1
"16","18 jaar of ouder","Waarde",2022,"Amstelveen","Gemeente  ",24.2,10.4
"17","18 jaar of ouder","Waarde",2022,"Amsterdam","Gemeente  ",31.6,15.1
"18","18 jaar of ouder","Waarde",2022,"Apeldoorn","Gemeente  ",20.6,9.6
"19","18 jaar of ouder","Waarde",2022,"Arnhem","Gemeente  ",26.2,13.3
"20","18 jaar of ouder","Waarde",2022,"Assen","Gemeente  ",20.1,9.2
"21","18 jaar of ouder","Waarde",2022,"Asten","Gemeente  ",18.2,7.7
"22","18 jaar of ouder","Waarde",2022,"Baarle-Nassau","Gemeente  ",18.3,7.1
"23","18 jaar of ouder","Waarde",2022,"Baarn","Gemeente  ",18.9,8.1
"24","18 jaar of ouder","Waarde",2022,"Barendrecht","Gemeente  ",20.6,8.8
"25","18 jaar of ouder","Waarde",2022,"Barneveld","Gemeente  ",17.4,7.8
"26","18 jaar of ouder","Waarde",2022,"Beek","Gemeente  ",21.3,9
"27","18 jaar of ouder","Waarde",2022,"Beekdaelen","Gemeente  ",20.9,8.7
"28","18 jaar of ouder","Waarde",2022,"Beesel","Gemeente  ",19.8,8.6
"29","18 jaar of ouder","Waarde",2022,"Berg en Dal","Gemeente  ",18.4,7.9
"30","18 jaar of ouder","Waarde",2022,"Bergeijk","Gemeente  ",17.5,6.8
"31","18 jaar of ouder","Waarde",2022,"Bergen (L.)","Gemeente  ",18.8,7.7
"32","18 jaar of ouder","Waarde",2022,"Bergen (NH.)","Gemeente  ",16.9,6.9
