"","Onderwijsvolgend","Uitkering","Geregistreerd.werkzoekende.bij.UWV","Perioden","Gemeente","aantal_jongeren","nietwerkzame_jongeren"
"1","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Nederland",2586000,818900
"2","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Aa en Hunze",2900,900
"3","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Aalsmeer",4500,1200
"4","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Aalten",3600,800
"5","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Achtkarspelen",4000,1200
"6","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Alblasserdam",2900,700
"7","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Albrandswaard",3300,1100
"8","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Alkmaar",14800,4000
"9","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Almelo",10800,3500
"10","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Almere",32400,11500
"11","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Alphen aan den Rijn",15700,4300
"12","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Alphen-Chaam",1300,300
"13","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Altena",8100,1800
"14","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Ameland",500,100
"15","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Amersfoort",22900,6800
"16","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Amstelveen",12700,5300
"17","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Amsterdam",148200,56500
"18","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Apeldoorn",22600,6500
"19","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Arnhem",26900,10000
"20","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Assen",9700,3100
"21","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Asten",2400,500
"22","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Baarle-Nassau",800,200
"23","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Baarn",2900,1000
"24","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Barendrecht",7100,2300
"25","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Barneveld",9600,1700
"26","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Beek (L.)",1900,500
"27","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Beekdaelen",4200,1300
"28","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Beesel",1700,400
"29","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Berg en Dal",4400,1300
"30","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Bergeijk",2600,500
"31","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Bergen (L.)",1700,400
"32","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Bergen (NH.)",3500,1200
"33","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Bergen op Zoom",8900,2700
"34","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Berkelland",5900,1400
"35","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Bernheze",4700,900
"36","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Best",4400,1100
"37","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Beuningen",3400,900
"38","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Beverwijk",5600,1500
"39","Totaal ","Totaal met of zonder uitkering","Totaal","2020","De Bilt",5300,2100
"40","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Bladel",2900,500
"41","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Blaricum",1200,600
"42","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Bloemendaal",2800,1400
"43","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Bodegraven-Reeuwijk",5000,1200
"44","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Boekel",1700,300
"45","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Borger-Odoorn",3100,900
"46","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Borne",3000,800
"47","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Borsele",3100,600
"48","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Boxtel",4600,1300
"49","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Breda",30700,9500
"50","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Bronckhorst",4800,1300
"51","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Brummen",2600,600
"52","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Brunssum",3200,1000
"53","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Bunnik",1800,600
"54","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Bunschoten",3400,600
"55","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Buren",3600,900
"56","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Capelle aan den IJssel",9200,3100
"57","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Castricum",4800,1300
"58","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Coevorden",4600,1200
"59","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Cranendonck",2800,800
"60","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Culemborg",4000,1300
"61","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Dalfsen",4100,1000
"62","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Dantumadiel",2600,800
"63","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Delft",25600,12700
"64","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Deurne",4500,1000
"65","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Deventer",15200,5000
"66","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Diemen",6400,2800
"67","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Dijk en Waard",12200,3100
"68","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Dinkelland",4200,800
"69","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Doesburg",1400,500
"70","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Doetinchem",8200,2400
"71","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Dongen",3500,800
"72","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Dordrecht",16900,5500
"73","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Drechterland",2800,700
"74","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Drimmelen",3500,800
"75","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Dronten",6400,2000
"76","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Druten",2700,700
"77","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Duiven",3600,900
"78","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Echt-Susteren",3600,1100
"79","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Edam-Volendam",5400,1000
"80","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Ede",18600,4800
"81","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Eemnes",1300,400
"82","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Eemsdelta",5700,2000
"83","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Eersel",2600,600
"84","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Eijsden-Margraten",3100,1000
"85","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Eindhoven",41400,14900
"86","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Elburg",3400,800
"87","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Emmen",14300,4400
"88","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Enkhuizen",2400,700
"89","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Enschede",30800,12600
"90","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Epe",4200,1000
"91","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Ermelo",3800,1000
"92","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Etten-Leur",5600,1500
"93","Totaal ","Totaal met of zonder uitkering","Totaal","2020","De Fryske Marren",6800,1700
"94","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Geertruidenberg",2800,700
"95","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Geldrop-Mierlo",5300,1500
"96","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Gemert-Bakel",4100,900
"97","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Gennep",2100,500
"98","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Gilze en Rijen",3600,900
"99","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Goeree-Overflakkee",6800,1500
